amenity,total_count,low_review_count,high_review_count
Dining table,52,0,35
Paid parking lot on premises \u2013 1 space,52,0,41
Private garden or backyard,52,0,37
Piano,52,0,44
Clothing storage: dresser and closet,51,1,38
Laundry services,51,0,0
Samsung refrigerator,51,0,43
Window guards,50,0,42
Free driveway parking on premises,50,1,42
Clothing storage: wardrobe and closet,49,0,40
Clothing storage: closet,49,0,36
Dedicated workspace: desk and office chair,49,0,39
Laundromat nearby,49,1,20
Formal dining area,48,0,4
Washer \u2013\u00a0In unit,48,0,38
Wifi \u2013 35 Mbps,48,0,40
Suitable for events,48,0,48
Cleaning products,47,1,18
Free washer\u2013In building,47,0,43
Babysitter recommendations,46,0,39
HBO Max,46,1,36
Bed sheets and pillows,45,0,0
Security system,45,0,3
Room service,44,0,0
Bosch refrigerator,44,0,35
Outdoor seating,43,0,3
Dove body soap,43,0,35
Dedicated workspace: office chair and desk,43,0,29
Clothing storage: wardrobe,42,0,31
Drying rack for clothing,42,0,14
Charlotte Rhys conditioner,41,0,33
Portable fans,41,0,30
Free residential garage on premises \u2013 2 spaces,41,0,32
Shared hot tub,41,0,34
Body soap,40,0,21
closet,40,0,26
Keypad,39,1,25
wardrobe,39,0,28
premium cable,39,0,35
Chromecast,39,0,35
Washer \u2013\u00a0In building,39,1,33
and dresser,38,0,25
Game console,38,0,31
Sonos Bluetooth sound system,38,0,22
Trash compactor,38,0,19
Balcony,37,0,2
Stainless steel stove,37,0,20
Free dryer\u2013In building,37,0,31
Sonos sound system,36,0,24
Clothing storage: wardrobe and dresser,36,0,27
and wardrobe,36,0,24
Charlotte Rhys shampoo,36,0,30
Charlotte Rhys body soap,35,0,31
LG refrigerator,35,0,25
Free residential garage on premises,35,0,25
and closet,35,0,27
Paid parking garage on premises \u2013 1 space,35,0,23
Outdoor dining area,34,0,27
Minibar,34,0,0
Free carport on premises \u2013 1 space,34,2,27
Ice machine,34,0,3
Wifi \u2013 15 Mbps,34,0,28
Bread maker,34,0,21
Satellite TV,33,0,3
Free residential garage on premises \u2013 1 space,33,0,30
Smeg stainless steel oven,32,0,28
1 space,32,0,21
HDTV with premium cable,32,0,27
walk-in closet,32,0,23
Roku,31,0,31
Apple TV,31,0,24
HDTV with Netflix,30,0,28
Clothing storage,30,0,10
"32\"" HDTV with standard cable",30,2,23
TV with Netflix,30,0,22
 linens,30,0,0
Security cameras,30,0,3
Pantene conditioner,29,0,26
standard cable,29,0,25
Office,29,1,0
Brastemp refrigerator,29,0,24
Free driveway parking on premises \u2013 2 spaces,29,0,23
Free washer\u2013In unit,29,0,21
EV charger,29,0,11
Dining area,29,1,1
"32\"" HDTV",28,0,26
Induction stove,28,0,22
Clothing storage: dresser,27,0,18
Bosch stainless steel oven,27,0,24
Fitness center,27,0,0
Changing table,27,0,5
Bottled water,27,0,0
Free parking garage on premises \u2013 2 spaces,27,0,26
TV with Chromecast,27,0,20
Hot water kettle,27,0,15
Wifi \u2013 1000 Mbps,27,0,21
Clothing storage: dresser and wardrobe,27,0,23
Free wifi,27,0,0
Media room,27,0,2
"55\"" HDTV with Netflix",26,0,24
Wifi \u2013 16 Mbps,26,0,24
Pantene shampoo,26,0,22
Bedroom comforts,26,0,26
Gated property,26,0,3
"32\"" HDTV with Netflix",26,0,22
Stainless steel induction stove,26,0,19
Free parking on premises \u2013 1 space,26,0,21
Private outdoor pool,25,0,18
Aveda conditioner,25,1,11
Aveda shampoo,25,1,11
Aveda body soap,25,1,11
"50\"" HDTV with Netflix",25,0,25
Smart TV,25,0,3
Barbecue utensils,25,0,7
HDTV with Chromecast,25,0,24
 toiletries,24,0,0
Game console: PS4,24,0,14
office chair,24,0,17
Fire pit,24,0,14
Airport shuttle,24,0,0
"40\"" HDTV with Netflix",24,0,23
Bed sheets and pillows,24,0,0
Washer \u2013\u00a0In building,24,0,15
"32\"" HDTV with Netflix",24,0,19
Wifi \u2013 24 Mbps,24,0,23
HDTV with Amazon Prime Video,23,0,16
Kayak,23,0,19
Baking sheet,23,1,14
Defy refrigerator,23,0,16
Gas fireplace,22,0,0
desk,22,0,16
Wifi \u2013 240 Mbps,22,0,20
Wifi \u2013 300 Mbps,21,0,18
"42\"" HDTV with Netflix",21,0,16
Fisher & Paykel refrigerator,21,0,20
and walk-in closet,21,0,17
"43\"" HDTV with Netflix",21,0,20
"55\"" HDTV with Netflix",21,0,19
and table,20,0,15
Dedicated workspace: office chair,20,0,14
Beach essentials,20,0,11
Full kitchen,20,0,20
Smeg stainless steel gas stove,20,0,17
Dedicated workspace: table,20,0,14
"32\"" TV",20,0,12
and desk,20,0,13
Onsite bar,20,0,0
Amenidad peque\u00f1a por estancia conditioner,20,0,0
Ski-in/Ski-out,20,0,10
Sound system,20,0,12
Radiant heating,20,1,14
Consul refrigerator,19,0,15
Clothing storage: wardrobe,19,0,10
Complimentary self parking,19,0,0
Private sauna,19,0,14
Housekeeping,19,0,0
Dedicated workspace: desk and table,19,0,18
Apple TV,19,1,3
Garden,19,0,2
Wood-burning fireplace,19,0,1
Amenidad peque\u00f1a por estancia body soap,19,0,0
and office chair,19,0,14
Baby bath,19,0,17
Gas grill,18,1,1
DVD player,18,0,1
Boat slip,18,0,11
Bidet,18,0,8
Heated floors,18,0,3
Laptop-friendly workspace,18,0,3
Shared gym nearby,17,0,16
Paid washer\u2013In unit,17,0,15
"40\"" HDTV with Netflix",17,0,15
Hot water kettle,17,0,7
"43\"" HDTV with Netflix",17,0,15
Pool toys,17,0,17
Brastemp stainless steel gas stove,17,0,14
Electrolux refrigerator,17,0,13
Ceiling fan,17,1,4
Outdoor shower,17,1,13
Natural gas barbeque,17,0,1
Mabe refrigerator,17,0,10
Chef's kitchen,16,1,1
table,16,0,10
Ski-in/Ski-out,16,0,13
Pour-over coffee,16,0,13
HDTV with Chromecast,16,0,12
Dining area for 10 people,16,0,1
"40\"" HDTV",16,0,15
Shared pool,16,0,9
Dedicated workspace: table,16,0,11
Turndown service,16,0,0
Dedicated workspace: desk,15,0,11
Clothing storage: walk-in closet,15,0,11
Free washer,15,0,7
Essentials,15,0,6
Breakfast buffet available \u2014 \u20ac14 per person per day,15,0,0
Wifi \u2013 60 Mbps,15,0,14
Paid parking lot off premises,15,0,15
Shared outdoor lap pool,15,0,11
Dining area for 8 people,15,0,0
Wifi \u2013 40 Mbps,15,0,12
Dedicated workspace: table and desk,15,0,11
Free wifi,15,0,0
Clothing storage: walk-in closet and closet,15,0,13
Dedicated workspace: table and office chair,14,0,12
Gas stove,14,0,7
Bathrobes,14,0,0
HDTV with premium cable,14,0,12
Free carport on premises \u2013 2 spaces,14,0,13
Portable heater,14,0,9
"42\"" HDTV with Netflix",14,0,14
"43\"" HDTV",14,0,10
"50\"" HDTV with Netflix",14,1,10
"50\"" HDTV with Amazon Prime Video",14,0,12
Baby safety gates,14,0,9
Bottled water,14,0,0
Dedicated workspace: table,14,0,11
Westinghouse refrigerator,14,0,12
Ar\u00e7elik refrigerator,14,0,9
"40\"" HDTV with standard cable",14,0,9
Children\u2019s books and toys for ages 0-2 years old,14,0,9
Shared outdoor saltwater pool,14,0,11
Paid valet parking on premises,14,0,9
2-5 years old,14,0,9
dove body soap,14,0,10
Wine cellar,13,0,2
Mabe stainless steel gas stove,13,0,11
HBO Max,13,0,12
Portable fans,13,0,6
Bath & Body Works conditioner,13,0,2
Wine cooler,13,0,2
Nespresso machine,13,0,8
Dedicated workspace: office chair and table,13,0,11
Wet bar,13,0,2
Bath & Body Works body soap,13,0,2
Natural gas barbeque,13,0,0
Keurig coffee machine,13,0,12
Miele stainless steel oven,13,0,10
Safe,12,0,12
Restaurant,12,0,0
Wifi \u2013 25 Mbps,12,0,10
Bosch oven,12,0,9
SMEG stainless steel oven,12,0,10
Smeg induction stove,12,0,12
Panasonic refrigerator,12,0,3
Bath & Body Works shampoo,12,0,1
Wifi \u2013 150 Mbps,12,0,11
Parking,12,0,1
monitor,12,0,10
Free washer\u2013In building,12,0,10
Clothing storage: closet,12,0,6
Alfresco shower,12,0,0
Shared outdoor rooftop saltwater pool,12,0,12
Whirlpool refrigerator,12,0,9
Office,12,0,2
Paid parking lot on premises,12,0,8
TV with premium cable,12,0,7
"42\"" HDTV",11,0,10
Ping pong table,11,0,7
JBL Bluetooth sound system,11,0,10
Self check-in,11,0,11
Alarm system,11,0,0
Wine storage,11,1,0
Clothing storage: wardrobe and walk-in closet,11,0,8
Private pool,11,0,1
Shared indoor heated pool,11,0,7
Beach essentials,11,0,10
Wifi \u2013 90 Mbps,11,0,11
Clothing storage: dresser and closet,11,0,9
Free dryer\u2013In building,11,0,9
Bosch stainless steel electric stove,11,0,8
Samsung refrigerator,11,0,7
Infinity pool,11,1,1
Samsung Bluetooth sound system,11,0,9
Waterfront,10,0,5
Steam room,10,0,0
Granado body soap,10,0,7
Consul refrigerator,10,0,8
Clothing storage: closet and walk-in closet,10,0,6
Palmolive body soap,10,0,7
Consul stainless steel gas stove,10,0,7
"32\"" HDTV with premium cable",10,0,10
Free carport on premises,10,0,7
Free parking garage on premises \u2013 30 spaces,10,0,10
Free carport on premises \u2013 1 space,10,0,8
"32\"" TV with standard cable",10,0,8
beko refrigerator,10,0,4
House bikes,10,0,0
Electric stove,10,0,7
Free residential garage on premises \u2013 3 spaces,10,0,10
and 10+ years old,10,0,8
Clothing storage: dresser and closet,10,0,10
5-10 years old,10,0,8
Home theater,10,0,0
Children\u2019s books and toys for ages 0-2 years old and 2-5 years old,10,0,4
Wifi \u2013 70 Mbps,10,0,9
"65\"" HDTV with Netflix",10,0,10
Fireplace guards,10,0,8
consul refrigerator,10,0,7
Lounge area,10,0,0
Library,10,0,0
"49\"" HDTV with Netflix",10,0,10
Rituals shampoo,9,0,8
SONOS sound system,9,0,5
Wifi \u2013 200 Mbps,9,0,7
Hisense refrigerator,9,0,8
Concierge,9,0,0
Bose sound system with Bluetooth and aux,9,0,7
Toaster,9,0,4
Slippers,9,0,0
Paid dryer\u2013In unit,9,0,5
Dryer \u2013 In building,9,0,7
Bosch stainless steel gas stove,9,0,9
Shared indoor pool,9,0,9
Exercise equipment,9,0,0
Alexa Bluetooth sound system,9,0,7
smeg stainless steel oven,9,0,6
Shared gym,9,0,4
GE refrigerator,9,0,7
Lux body soap,9,0,6
Wifi,9,0,1
"32\"" HDTV with Chromecast",9,0,9
Free parking garage on premises \u2013 2 spaces,9,1,8
Hisense refrigerator,9,0,8
Brastemp stainless steel oven,9,0,9
Bose Bluetooth sound system,9,0,8
Slippers,9,0,0
Central air conditioning,9,0,1
Rituals conditioner,9,0,6
"40\"" TV",9,1,6
Sukin conditioner,8,0,6
HDTV with Apple TV,8,0,8
"55\"" HDTV",8,0,6
Phebo body soap,8,0,7
Apple TV,8,0,6
Dove conditioner,8,0,8
Smeg oven,8,0,6
Wifi \u2013 400 Mbps,8,0,2
Defy stainless steel electric stove,8,0,7
Rituals body soap,8,0,6
"55\"" HDTV with Amazon Prime Video",8,0,7
SMEG refrigerator,8,0,6
Satellite TV,8,0,0
Free parking garage on premises,8,0,6
samsung refrigerator,8,1,7
24-hour fitness center,8,0,0
HDTV with Netflix,8,0,6
Miele stainless steel gas stove,8,0,7
Kitchen,8,0,2
Free parking on premises \u2013 1 space,8,0,5
Bar,8,0,2
Laundry services,8,0,0
Driveway parking,8,0,0
Shared outdoor heated pool,8,1,5
Frigidaire refrigerator,8,1,4
Bathtub,8,0,5
Free driveway parking on premises,8,0,6
Marshall sound system with Bluetooth and aux,8,0,7
Shared outdoor rooftop pool,8,0,8
Consul stainless steel oven,8,0,7
Whirpool refrigerator,8,0,5
Samsung refrigerator,8,0,7
"42\"" HDTV with premium cable",8,0,6
Children\u2019s books and toys for ages 2-5 years old,8,0,6
"50\"" HDTV",8,0,6
Clothing storage: walk-in closet and wardrobe,8,0,7
"42\"" HDTV with standard cable",7,0,6
Internet,7,0,0
TV with Amazon Prime Video,7,0,7
nivea body soap,7,0,5
Siemens refrigerator,7,0,6
Paid parking garage on premises \u2013 2 spaces,7,0,5
Bosh refrigerator,7,0,5
Dove,7,0,7
Plunge pool,7,0,0
MEX gas stove,7,0,1
S/M conditioner,7,0,7
and 5-10 years old,7,0,4
"42\"" TV with standard cable",7,0,6
brastemp refrigerator,7,0,6
HDTV with standard cable,7,0,6
Dedicated workspace: monitor,7,0,5
Koblenz stainless steel electric stove,7,0,2
Whirlpool stainless steel oven,7,0,5
vestel refrigerator,7,0,5
SAMSUNG refrigerator,7,1,6
Outdoor furniture,7,0,7
Bread maker,7,0,6
"49\"" HDTV with Netflix",7,0,6
"65\"" HDTV with Netflix",7,0,5
Paid parking garage off premises \u2013 $3 per day,7,0,0
Record player,7,0,5
Sukin body soap,7,0,6
Organics shampoo,7,0,7
Wine glasses,7,0,5
Eletrolux refrigerator,7,0,7
Wifi \u2013 500 Mbps,7,0,5
Wifi \u2013 5 Mbps,7,0,7
Bluetooth speaker,7,0,0
Sony sound system with Bluetooth and aux,7,0,6
Paid parking garage on premises,7,0,5
LG Bluetooth sound system,7,0,6
"81\"" TV with Netflix",7,0,7
Smeg refrigerator,7,0,6
Charcoal barbeque,7,0,1
Defy stainless steel oven,7,0,7
5% do valor das vendas dos cosm\u00e9ticos \u00e9 destinado \u00e0 Cooperativa fabricante da mat\u00e9ria-prima Outro diferencial \u00e9 que estes cosm\u00e9ticos s\u00e3o os \u00fanicos do mercado hoteleiro altamente sustent\u00e1veis e homologados pelo Minist\u00e9rio do Turismo,6,0,6
L\u00edquido body soap,6,0,6
cheap one body soap,6,0,6
Frigidaire stainless steel gas stove,6,0,3
Clothing storage: dresser and walk-in closet,6,0,6
Clothing storage: walk-in closet and dresser,6,0,5
Wifi \u2013 75 Mbps,6,0,3
Paid parking lot off premises \u2013 $8 per day,6,0,6
Daewoo refrigerator,6,0,6
pois tem formula\u00e7\u00e3o biodegrad\u00e1vel,6,0,6
10 spaces,6,0,6
Breakfast table,6,0,1
Rice maker,6,0,2
a linha respeita a natureza e promove o turismo sustent\u00e1vel,6,0,6
Frigidaire stainless steel oven,6,0,3
Bosch electric stove,6,0,6
Kayak,6,0,6
Mountain view,6,0,1
TV with Apple TV,6,0,4
L'Occitane body soap,6,0,3
"50\"" HDTV with standard cable",6,0,5
Mosquito net,6,0,4
Miele refrigerator,6,0,5
Ceiling fans,6,0,1
Pool toys,6,0,6
"55\"" TV",6,0,4
Spa,6,0,0
NORMAL body soap,6,0,1
"75\"" HDTV with Netflix",6,0,3
Computer,6,0,1
Free parking on premises \u2013 2 spaces,6,0,6
ar\u00e7elik stainless steel oven,6,0,3
Electrolux stainless steel oven,6,0,5
Mabe gas stove,6,0,5
que valorizam e geram renda para os agricultores,6,0,6
S/M body soap,6,0,6
Music system,6,0,0
Propia body soap,6,0,6
"60\"" HDTV with Netflix",6,0,6
L'Occitane conditioner,6,0,2
Gym nearby,6,0,5
Eletrolux stainless steel gas stove,6,0,6
"55\"" HDTV with standard cable",6,0,2
TV with Roku,6,0,6
Free driveway parking on premises \u2013 3 spaces,6,0,5
Sukin shampoo,6,0,4
Free residential garage on premises,6,0,5
 Amenities Realgem\u2019s -Talentos do Brasil Feita a base de mel,6,0,6
Piano,6,0,4
Roku,6,0,4
standard cable,6,0,6
Bidet,6,0,3
frascos recicl\u00e1veis e extratos adquiridos de pequenos agricultores brasileiros. Al\u00e9m dos extratos da agricultura familiar,6,0,6
Paid street parking off premises \u2013 EUR2 per hour,6,0,5
Wifi \u2013 240 Mbps,6,0,4
"32\"" HDTV with Amazon Prime Video",6,0,6
Outdoor saltwater pool,6,0,4
2 spaces,6,0,3
Irish Spring,6,0,6
Amazon Prime Video,5,0,5
"32\"" TV with Netflix",5,0,5
Grundig stainless steel oven,5,0,4
Complimentary breakfast buffet,5,0,0
TV with Chromecast,5,0,4
Sony sound system,5,0,3
Dryer \u2013\u00a0In unit,5,0,1
"32\"" HDTV with Roku",5,0,5
Treseme conditioner,5,0,5
Wifi \u2013 2020 Mbps,5,0,4
SMEG stainless steel gas stove,5,0,5
Complimentary continental breakfast,5,0,0
Fisher & Paykel stainless steel oven,5,0,3
Vestel refrigerator,5,1,3
Laptop,5,0,0
Hitachi refrigerator,5,0,5
Children\u2019s books and toys for ages 5-10 years old and 10+ years old,5,0,3
Stainless steel gas stove,5,0,3
Mabe stainless steel oven,5,0,5
Mabe oven,5,0,4
"65\"" HDTV",5,0,3
Paid washer\u2013In building,5,0,4
dove conditioner,5,0,4
INDUSTRIAL refrigerator,5,0,3
HDTV with Roku,5,0,4
Paid parking garage off premises \u2013 EUR25 per day,5,0,2
Limited housekeeping \u2014 ,5,0,0
"55\"" HDTV with premium cable",5,0,3
Game room,5,0,0
Outdoor pool,5,0,2
Ironing board,5,0,0
